"F#TIME","R#000","R#001","R#002","R#003","R#004","R#005","R#006","R#007","R#008","R#009","R#010","R#011","R#012","R#013","R#014","R#015","R#016","R#017","R#018","R#019","R#020","R#021","R#022","R#023","R#024","R#025","R#026","R#027","R#028","R#029","R#030","R#031","R#032","R#033","R#034","R#035","R#036","R#037","R#038","R#039","R#040","R#041","R#042","R#043","R#044","R#045","R#046","R#047","R#048","R#049","R#050","R#051","R#052","R#053","R#054","R#055","R#056","R#057","R#058","R#059","R#060","R#061","R#062","R#063","R#064","R#065","R#066","R#067","R#068","R#069","R#070","R#071","R#072","R#073","R#074","R#075","R#076","R#077","R#078","R#079","R#080","R#081","R#082","R#083","R#084","R#085","R#086","R#087","R#088","R#089","R#090","R#091","R#092","R#093","R#094","R#095","R#096","R#097","R#098","R#099","R#100","R#101","R#102","R#103","R#104","R#105","R#106","R#107","R#108","R#109","R#110","R#111","R#112","R#113","R#114","R#115","R#116","R#117","R#118","R#119","R#120","R#121","R#122","R#123","R#124","R#125","R#126","R#127","R#128","R#129","R#130","R#131","R#132","R#133","R#134","R#135","R#136","R#137","R#138","R#139","R#140","R#141","R#142","R#143","R#144","R#145","R#146","R#147","R#148","R#149","R#150","R#151","R#152","R#153","R#154","R#155","R#156","R#157","R#158","R#159","R#160","R#161","R#162","R#163","R#164","R#165","R#166","R#167","R#168","R#169","R#170","Total","Z#TEST","Z#GTEST"
"2016-08-31 18:58:28.468","606","25894","410774","2365346","4082014","4168646","1776613","254511","15150","152","49794","49827","49878","49811","49775","49889","49860","49818","49890","49823","49876","49891","49834","49900","49900","49824","49868","49887","49899","49900","49800","49816","49900","49897","49818","49848","49847","49811","49808","49843","49807","49900","49858","49859","49863","49885","49834","49900","49892","49897","49900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15143833","505000","16160000"
"2016-08-31 18:58:29.485","626","26757","424769","2444406","4211697","4286651","1836639","262997","15654","157","49794","49827","49878","49811","49775","49889","49860","49818","49890","49823","49876","49891","49834","49900","49900","49824","49868","49887","49899","49900","49800","49816","49900","49897","49818","49848","49847","49811","49808","49843","49807","49900","49858","49859","49863","49885","49834","49900","49892","49897","49900","49852","49900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15654232","505000","16665000"
"2016-08-31 18:58:30.469","646","27620","438275","2522927","4340670","4443356","1895662","271469","16155","162","49794","49827","49878","49811","49775","49889","49860","49818","49890","49823","49876","49891","49834","49900","49900","49824","49868","49887","49899","49900","49800","49816","49900","49897","49818","49848","49847","49811","49808","49843","49807","49900","49858","49859","49863","49885","49834","49900","49892","49897","49900","49852","49900","49840","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16150661","505000","17170000"
"2016-08-31 18:58:31.473","667","28485","451967","2602047","4464043","4584674","1954975","279942","16661","167","49794","49827","49878","49811","49775","49889","49860","49818","49890","49823","49876","49891","49834","49900","49900","49824","49868","49887","49899","49900","49800","49816","49900","49897","49818","49848","49847","49811","49808","49843","49807","49900","49858","49859","49863","49885","49834","49900","49892","49897","49900","49852","49900","49840","49836","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16627183","505000","17675000"
"2016-08-31 18:58:32.473","686","29352","465556","2680539","4599516","4716949","2013786","288323","17166","172","49794","49827","49878","49811","49775","49889","49860","49818","49890","49823","49876","49891","49834","49900","49900","49824","49868","49887","49899","49900","49800","49816","49900","49897","49818","49848","49847","49811","49808","49843","49807","49900","49858","49859","49863","49885","49834","49900","49892","49897","49900","49852","49900","49840","49836","49818","49884","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17155302","505000","18180000"
"2016-08-31 18:58:33.468","708","30219","479247","2759487","4728564","4842845","2072546","296781","17670","177","49794","49827","49878","49811","49775","49889","49860","49818","49890","49823","49876","49891","49834","49900","49900","49824","49868","49887","49899","49900","49800","49816","49900","49897","49818","49848","49847","49811","49808","49843","49807","49900","49858","49859","49863","49885","49834","49900","49892","49897","49900","49852","49900","49840","49836","49818","49884","49857","49878","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17671236","505000","18685000"
"2016-08-31 18:58:34.474","728","31087","493143","2838734","4857974","4957265","2132668","305342","18176","182","49794","49827","49878","49811","49775","49889","49860","49818","49890","49823","49876","49891","49834","49900","49900","49824","49868","49887","49899","49900","49800","49816","49900","49897","49818","49848","49847","49811","49808","49843","49807","49900","49858","49859","49863","49885","49834","49900","49892","49897","49900","49852","49900","49840","49836","49818","49884","49857","49878","49846","49900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18178037","505000","19190000"
"2016-08-31 18:58:35.472","748","31953","506731","2917364","4988206","5071357","2191527","313822","18682","187","49794","49827","49878","49811","49775","49889","49860","49818","49890","49823","49876","49891","49834","49900","49900","49824","49868","49887","49899","49900","49800","49816","49900","49897","49818","49848","49847","49811","49808","49843","49807","49900","49858","49859","49863","49885","49834","49900","49892","49897","49900","49852","49900","49840","49836","49818","49884","49857","49878","49846","49900","49822","49801","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18682938","505000","19695000"
"2016-08-31 18:58:36.470","768","32817","520344","2995565","5106604","5185054","2250785","322205","19187","192","49794","49827","49878","49811","49775","49889","49860","49818","49890","49823","49876","49891","49834","49900","49900","49824","49868","49887","49899","49900","49800","49816","49900","49897","49818","49848","49847","49811","49808","49843","49807","49900","49858","49859","49863","49885","49834","49900","49892","49897","49900","49852","49900","49840","49836","49818","49884","49857","49878","49846","49900","49822","49801","49900","49849","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19175631","505000","20200000"
"2016-08-31 18:58:37.469","788","33617","534031","3074889","5246328","5299042","2309703","330684","19691","197","49794","49827","49878","49811","49775","49889","49860","49818","49890","49823","49876","49891","49834","49900","49900","49824","49868","49887","49899","49900","49800","49816","49900","49897","49818","49848","49847","49811","49808","49843","49807","49900","49858","49859","49863","49885","49834","49900","49892","49897","49900","49852","49900","49840","49836","49818","49884","49857","49878","49846","49900","49822","49801","49900","49849","49899","49898","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19690877","505000","20705000"
