Ti00,<Length>:,RMQ0 ,RMQ1 ,RMQ2 ,RMQ3 ,RMQ4 ,RMQ5 ,RMQ6 ,RMQ7 ,RMQ8 ,RMQ9 ,<Event>:,RMQ0 ,RMQ1 ,RMQ2 ,RMQ3 ,RMQ4 ,RMQ5 ,RMQ6 ,RMQ7 ,RMQ8 ,RMQ9 ,<CPU>:,us,sy
29:40.7,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,19,9
29:40.8,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,19,9
29:40.9,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,19,9
29:41.0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,33,14
29:41.1,,55,0,0,0,0,0,58,0,47,0,,0,0,0,0,0,0,0,0,0,0,,33,14
29:41.2,,5,97,76,97,97,0,0,0,0,97,,0,0,0,0,0,1,0,0,0,0,,33,14
29:41.3,,0,79,0,79,0,80,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,33,14
29:41.4,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,33,14
29:41.5,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,33,14
29:41.6,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,33,14
29:41.7,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,33,14
29:41.8,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,33,14
29:41.9,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,33,14
29:42.0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,49,21
29:42.1,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,49,21
29:42.2,,84,0,77,0,0,68,101,86,94,90,,0,1,0,0,0,0,9,0,0,0,,49,21
29:42.3,,77,0,77,0,58,0,77,85,76,90,,0,0,0,0,0,0,1,0,0,0,,49,21
29:42.4,,0,0,0,0,0,0,0,0,0,43,,0,0,0,0,0,0,0,0,0,0,,49,21
29:42.5,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,49,21
29:42.6,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,49,21
29:42.7,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,49,21
29:42.8,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,49,21
29:42.9,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,49,21
29:43.0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,28,13
29:43.1,,0,96,0,93,90,0,0,97,0,0,,0,0,0,0,0,0,0,0,0,0,,28,13
29:43.2,,61,63,61,63,63,62,61,63,61,61,,0,0,0,0,0,0,0,0,1,0,,28,13
29:43.3,,60,62,60,62,0,61,60,62,60,60,,0,0,0,0,0,0,0,0,0,0,,28,13
29:43.4,,16,23,17,23,0,25,17,23,16,25,,0,0,0,0,0,0,0,0,0,0,,28,13
29:43.5,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,28,13
29:43.6,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,28,13
29:43.7,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,28,13
29:43.8,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,28,13
29:43.9,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,28,13
29:44.0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,38,11
29:44.1,,0,37,0,34,31,0,0,29,0,0,,0,0,0,0,0,0,0,0,0,0,,38,11
29:44.2,,96,99,96,0,0,96,96,0,0,96,,1,0,0,0,0,0,0,0,0,0,,38,11
29:44.3,,0,44,0,100,0,0,0,56,101,0,,0,0,0,0,1,0,0,0,1,0,,38,11
29:44.4,,53,12,53,60,42,53,53,0,101,53,,0,0,0,0,0,0,0,0,1,0,,38,11
29:44.5,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,38,11
29:44.6,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,38,11
29:44.7,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,38,11
29:44.8,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,38,11
29:44.9,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,38,11
29:45.0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,22,16
29:45.1,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,22,16
29:45.2,,48,0,5,19,20,31,32,41,43,53,,0,0,0,0,0,0,0,0,0,0,,22,16
29:45.3,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,1,,22,16
29:45.4,,1,20,39,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,22,16
